FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Risiko - Indberetning af faktiske og mulige tab.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx""";GenerelSkadepolitik
IndboMedarbejdersager.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";GenerelSkadepolitik
Hundesyge - Behandling af hundesyge.aspx;"href=""/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx""";"href=""/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx""";Hund
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx""";Indbo
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx""";Indbo
Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx""";Indbo
Mails - Autoarkivering af mails uden kode.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Auto-arkivering%20af%20sendte%20mails%20powerpoint.pptx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Auto-arkivering%20af%20sendte%20mails%20powerpoint.pptx""";Indbo
Dækning af rejsegods.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Behandling%20af%20rejsegodsskader%20i%20henhold%20til%20Indbovilkår%2033-5%20(2).docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Behandling%20af%20rejsegodsskader%20i%20henhold%20til%20Indbovilkår%2033-5%20(2).docx""";Indbo
Pludselig skade - Bortkomst eller beskadigelse.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Bortkomst%20eller%20beskadigelse.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Bortkomst%20eller%20beskadigelse.docx""";Indbo
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Brev%20vedrørende%20opkrævning.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Brev%20vedrørende%20opkrævning.docx""";Indbo
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Dette%20brev.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Dette%20brev.docx""";Indbo
