FileName	OriginalHyperLink	NewHyperLink	CoincidencePrefix
Campingvogn og fortelte.aspx	"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Hvilke%20boliger%20anses%20som%20feriebolig.aspx"""		
Den gode start Bilskade.aspx	"href=""/Skade/hb/GenerelSkadepolitik/Sider/StatistikkoderSkadearter.aspx"""		
Den gode start Bilskade.aspx	"href=""/Skade/hb/GenerelSkadepolitik/Sider/Reserve.aspx"""		
Den gode start Bilskade.aspx	"href=""/Skade/SiteAssets/Lists/DGSBIL/EditForm/Forkortelser.docx"""		
Den gode start Bilskade.aspx	"href=""/Skade/Lists/DGSBIL/Attachments/11/Kopianmeldelse.docx"""		
DFIM og afmelding af køretøjer.aspx	"href=""https://dfim.dk/dansk/dfim/uheld-i-Danmark/Sider/default.aspx"""		
DFIM og afmelding af køretøjer.aspx	"href=""/Skade/hb/bil/SitePages/Uforsikrede%20køretøjer%20(aftale%20med%20DFIM)%20og%20ukendte%20skadevoldere.aspx"""		
Dæk og fælge.aspx	"href=""/Skade/hb/bil/SitePages/Biltilbehør%20hvor%20medlemmet%20ikke%20længere%20ejer%20bilen.aspx"""		
Dækning af 17-årige, der fører bil.aspx	"href=""/Skade/hb/bil/SitePages/Selvrisiko%20ved%20fører%20under%2025%20år.aspx"""		
Ekstra Førererstatning.aspx	"href=""/Sider/vilkaar.aspx"""		
Elektronisk faktura.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Elektronisk%20faktura/Sådan%20sendes%20en%20faktura%20eller%20kreditnota%20direkte%20til%20en%20myndighed%20eller%20offentlig%20institution.docx"""		
Én skade én selvrisiko.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Én%20skade%20én%20selvrisiko/Selvrisikoberegner.xlsx"""		
Erstatning for dyr.aspx	"href=""/Skade/hb/hund/SitePages/Dyrlægekonsulent%20Søren%20Karstensen.aspx"""		
Erstatningsudbetaling.aspx	"href=""/Skade/hb/bil/SitePages/Erstatningsudbetaling%20ved%20mere%20end%20en%20ejer.aspx"""		
Falckaftale om presenning, når medlem kun har ansvar.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/falckaftale%20vdr.%20presening.pdf"""		
Falcks Redningskorps Afsavnserklæring.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Falcks%20Redningskorps%20Afsavnserklæring.docx"""		
Fast-track sager 1250.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Fast-track%20sager%201250/Fast-track.docx"""		
Fl §101 stk 1 fandt ikke anvendelse -Dækningstilsagn trukket tilbage.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Dækningstilsagn%20trukket%20tilbage/FL%20§%20101%20-%20tilstedeværelse%20indebærer%20ikke%20obj.ansvar%20hvis%20ej%20forvoldt%20uheldet.pdf"""		
Flyvende trampoliner - kasko.aspx	"href=""/Skade/hb/bil/SitePages/Flyvende%20trampoliner.aspx"""		
Flyvende trampoliner.aspx	"href=""http://www.forsikringsvejret.dk/"""		
Flyvende trampoliner.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Flyvende%20trampoliner/Nedstyrtende%20genstande.docx"""		
Forbehold for reparation.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Retningslinjer%20for%20forsikringsselskaber%20og%20autoværksteder%20ved%20forsikringsskader%20på%20biler.pdf"""		
