Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
CPR.aspx;Gerningsmand;href="https://web.cpr.dk/cpr-online-web/home";false;home;;
Domstol.aspx;Gerningsmand;href="http://www.domstol.dk/find/Pages/findminretskreds.aspx";false;findminretskreds.aspx;;
RKI.aspx;Gerningsmand;href="https://www.kreditsikring.dk/secure/default.asp";false;default.asp;;
Renteberegning.aspx;Gerningsmand;href="http://www.interestia.dk/";false;;;
Skema.aspx;Gerningsmand;href="/Skade/hb/gerningsmand/Dokumenter/Forms/AllItems.aspx";false;AllItems.aspx;;
