Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Forebyggende behandling - kronisk sygdomsbrev.aspx;Hund;"href=""/Skade/hb/hund/Delte%20dokumenter/Kronisk%20sygdom%20-%20forebyggende%20behandling.docx""";False;Kronisk%20sygdom%20-%20forebyggende%20behandling.docx;https://lbforsikring.sharepoint.com/sites/Skade/Hund/;
Behandling af anmeldelser på hundesygedækningen.aspx;Hund;"href=""/Skade/hb/hund/Delte%20dokumenter/her.docx""";False;her.docx;https://lbforsikring.sharepoint.com/sites/Skade/Hund/;
Laboratorieprøver.aspx;Hund;"href=""/Skade/hb/hund/Delte%20dokumenter/Laboratorieprøver.docx""";False;Laboratorieprøver.docx;https://lbforsikring.sharepoint.com/sites/Skade/Hund/;
