Filnavn	Branche	Content	IsLinkCoincidence	FileInLink	NytLink	Prefix
Ansvar for eldrevne løbehjul og eldrevne skateboard.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Eldrevet%20cykel.aspx"""	False	Eldrevet%20cykel.aspx		
Vejledning til behandling af en ansvarssag.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/En%20værnet%20interesse.aspx"""	False	En%20værnet%20interesse.aspx		
Vedrørende selvforsikrede kommuner.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatning%20til%20skoler%20og%20kommuner.aspx"""	False	Erstatning%20til%20skoler%20og%20kommuner.aspx		
Afskrivning i skadelidtes krav.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx"""	False	Erstatningens%20størrelse%20for%20dyr.aspx		
Hund gør andre dyr bange.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx"""	False	Erstatningens%20størrelse%20for%20dyr.aspx		
Uønsket parring - egen skyld.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx"""	False	Erstatningens%20størrelse%20for%20dyr.aspx		
Skade opstået under hundeslagsmål.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx"""	False	Erstatningens%20størrelse%20for%20dyr.aspx		
Slagsmål mellem hund og kat.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx"""	False	Erstatningens%20størrelse%20for%20dyr.aspx		
Medarbejderens egen hæftelse.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningsansvarslovens%20§%2023.aspx"""	False	Erstatningsansvarslovens%20§%2023.aspx		
Skade på feriebolig.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Erstatningsopgørelse%20for%20lånte%20eller%20lejede%20nøgler.aspx"""	False	Erstatningsopgørelse%20for%20lånte%20eller%20lejede%20nøgler.aspx		
Skade forvoldt af børn.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Forældres%20hæftelsesansvar.aspx"""	False	Forældres%20hæftelsesansvar.aspx		
Uagtsomhedsgrader.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Forældres%20hæftelsesansvar.aspx"""	False	Forældres%20hæftelsesansvar.aspx		
Vedrørende spirituspåvirkning.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Forældres%20hæftelsesansvar.aspx"""	False	Forældres%20hæftelsesansvar.aspx		
Spiritus.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Forældres%20hæftelsesansvar.aspx"""	False	Forældres%20hæftelsesansvar.aspx		
Motorkøretøj - børns ansvar - varetægt.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Forældres%20hæftelsesansvar.aspx"""	False	Forældres%20hæftelsesansvar.aspx		
Behandling af skiskader.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Færdselsregler%20på%20ski.aspx"""	False	Færdselsregler%20på%20ski.aspx		
Husejeransvar.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Glideskader.aspx"""	False	Glideskader.aspx		
Skade forvoldt af børn.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx"""	False	Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx		
Gæstebudsskade.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx"""	False	Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx		
Tjenesteydelse.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Gæstebudsskade.aspx"""	False	Gæstebudsskade.aspx		
Skoleskader.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Henvisning%20til%20eget%20forsikringsselskab.aspx"""	False	Henvisning%20til%20eget%20forsikringsselskab.aspx		
Danske Lov 6-10-2.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Hesteskader.aspx"""	False	Hesteskader.aspx		
Referater fra ansvarsmøder.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Hund%20gør%20andre%20dyr%20bange.aspx"""	False	Hund%20gør%20andre%20dyr%20bange.aspx		
Husejers ansvar for lejers forsømmelse.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Husejeransvar%20på%20erhvervsansvarsforsikringen.aspx"""	False	Husejeransvar%20på%20erhvervsansvarsforsikringen.aspx		
