Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Indboskadehåndbogen om storm - Indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Behandling%20af%20stormskader.aspx";false;Behandling%20af%20stormskader.aspx;;
Knækkede grene - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Træer%20-%20Bygning.aspx";false;Træer%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Reparation%20-%20Bygning.aspx";false;Reparation%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Eget%20arbejde%20-%20Bygning%20og%20Indbo.aspx";false;Eget%20arbejde%20-%20Bygning%20og%20Indbo.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Betaling%20af%20regninger%20-%20Bygning.aspx";false;Betaling%20af%20regninger%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Priser%20på%20bygningsdele%20-%20Bygning.aspx";false;Priser%20på%20bygningsdele%20-%20Bygning.aspx;;
Legehuse - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx";false;Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx;;
Legehuse - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Gyngestativer%20-%20Bygning%20og%20indbo.aspx";false;Gyngestativer%20-%20Bygning%20og%20indbo.aspx;;
Legehuse - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Legetårne.aspx";false;Legetårne.aspx;;
Muret eller støbt sokkel eller sokkelsten - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Manglende%20fundering.aspx";false;Manglende%20fundering.aspx;;
Personrelaterede sager - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx";false;Sagerhvoransatteerinvolveret.aspx;;
Postkasser - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Erstatning%20for%20postkasse.aspx";false;Erstatning%20for%20postkasse.aspx;;
Priser på bygningsdele - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/Delte%20dokumenter/Priskatalog.docx";false;Priskatalog.docx;;
Radioamatørantenner - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Radioamatørantenne.aspx";false;Radioamatørantenne.aspx;;
Regninger - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Betaling%20af%20regninger%20-%20Bygning.aspx";false;Betaling%20af%20regninger%20-%20Bygning.aspx;;
Regninger - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Kontanterstatning%20-%20Bygning%20og%20indbo.aspx";false;Kontanterstatning%20-%20Bygning%20og%20indbo.aspx;;
Renter - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Betaling%20af%20regninger%20-%20Bygning.aspx";false;Betaling%20af%20regninger%20-%20Bygning.aspx;;
Reparation - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Kontanterstatning%20-%20Bygning%20og%20indbo.aspx";false;Kontanterstatning%20-%20Bygning%20og%20indbo.aspx;;
Reparation - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Reparationsoverslag%20-%20Bygning%20og%20Indbo.aspx";false;Reparationsoverslag%20-%20Bygning%20og%20Indbo.aspx;;
Reparation - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Reparation - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/SP-håndværkere%20-%20Bygning%20og%20indbo.aspx";false;SP-håndværkere%20-%20Bygning%20og%20indbo.aspx;;
Reparation - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Afskrivning%20-%20Bygning.aspx";false;Afskrivning%20-%20Bygning.aspx;;
Reparationsoverslag - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Reparationsoverslag - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/SP-håndværkere%20-%20Bygning%20og%20indbo.aspx";false;SP-håndværkere%20-%20Bygning%20og%20indbo.aspx;;
Reserver - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/Delte%20dokumenter/Hvordan%20afsættes%20reserve.docx";false;Hvordan%20afsættes%20reserve.docx;;
Reserver - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/Delte%20dokumenter/Reservegennemgang.docx";false;Reservegennemgang.docx;;
Sanering - Bygning og indbo.aspx;Stormmanual;href="/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringshåndbogen.aspx";false;Arkiv_Bg0_Saneringshåndbogen.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Selvrisiko%20-%201.%20risikodækning.aspx";false;Selvrisiko%20-%201.%20risikodækning.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/1%20eller%202%20selvrisikobeløb.aspx";false;1%20eller%202%20selvrisikobeløb.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Selvrisiko%20-%20En%20skade%20en%20selvrisiko.aspx";false;Selvrisiko%20-%20En%20skade%20en%20selvrisiko.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Selvrisiko%20-%20Selvrisiko%20eller%20afskrivning%20hvornår%20gøres%20det%20gældende.aspx";false;Selvrisiko%20-%20Selvrisiko%20eller%20afskrivning%20hvornår%20gøres%20det%20gældende.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Afdragsordninger.aspx";false;Afdragsordninger.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx";false;Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx;;
Selvrisiko - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Betaling%20af%20regninger%20-%20Bygning.aspx";false;Betaling%20af%20regninger%20-%20Bygning.aspx;;
Skadebegrænsning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/FAL%20§%2052%20og%2053.aspx";false;FAL%20§%2052%20og%2053.aspx;;
Skadebegrænsning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Skadeservicefirmaer%20-%20Bygning%20og%20indbo.aspx";false;Skadeservicefirmaer%20-%20Bygning%20og%20indbo.aspx;;
Skader forvoldt af håndværkere - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Reklamation%20-%20Bygning%20og%20indbo.aspx";false;Reklamation%20-%20Bygning%20og%20indbo.aspx;;
Skader over 1 million - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Skader%20på%20over%201%20mio%20kr.aspx";false;Skader%20på%20over%201%20mio%20kr.aspx;;
SP-håndværkere - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Reparationsoverslag%20-%20Bygning%20og%20Indbo.aspx";false;Reparationsoverslag%20-%20Bygning%20og%20Indbo.aspx;;
SP-håndværkere - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Stormdatoer - Bygning og indbo.aspx;Stormmanual;href="http://www.forsikringogpension.dk/forsikring/forsikringsvejret/Sider/forsikringsvejret.aspx";false;forsikringsvejret.aspx;;
Træer - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Falck%20Bolighjælp%20-%20Bygning.aspx";false;Falck%20Bolighjælp%20-%20Bygning.aspx;;
Træer - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Husplus%20afsnit%2014%20-%20Bygning.aspx";false;Husplus%20afsnit%2014%20-%20Bygning.aspx;;
Træer - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Policeinformation%20-%20Bygning%20og%20indbo.aspx";false;Policeinformation%20-%20Bygning%20og%20indbo.aspx;;
Træer - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Knækkede%20grene%20-%20Bygning.aspx";false;Knækkede%20grene%20-%20Bygning.aspx;;
Udendørs køkken - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Indbogenstande%20-%20Indbo.aspx";false;Indbogenstande%20-%20Indbo.aspx;;
Udhuse og redskabsskure - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Carporte%20-%20Bygning.aspx";false;Carporte%20-%20Bygning.aspx;;
Udhuse og redskabsskure - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Drivhuse%20-%20Bygning.aspx";false;Drivhuse%20-%20Bygning.aspx;;
Udhuse og redskabsskure - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx";false;Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx;;
Vandskade på bygning som følge af storm - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Stormdatoer%20-%20Bygning%20og%20indbo.aspx";false;Stormdatoer%20-%20Bygning%20og%20indbo.aspx;;
Vandskade på bygning som følge af storm - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Skadebegrænsning%20-%20Bygning%20og%20indbo.aspx";false;Skadebegrænsning%20-%20Bygning%20og%20indbo.aspx;;
Vandskade på bygning som følge af storm - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Stormflodsskader.aspx";true;Stormflodsskader.aspx;;
Vandskade på bygning som følge af storm - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Følgeskader%20efter%20Stormflod.aspx";false;Følgeskader%20efter%20Stormflod.aspx;;
Vandskade på bygning som følge af storm - Bygning.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Stormflodsskader.aspx";true;Stormflodsskader.aspx;;
