Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix;Kolonne1;Kolonne2;Kolonne3
p. Procesbeskrivelse.aspx;Regres;"href=""/Skade/hb/reg/SiteAssets/SitePages/p.%20Procesbeskrivelse/Procesbeskrivelse%20-%20regressager.pptx""";False;Procesbeskrivelse%20-%20regressager.pptx;https://lbforsikring.sharepoint.com/sites/Skade/Regres/;;;;
g. Procesbeskrivelse for gerningsmandssager.aspx;Regres;"href=""/Skade/hb/reg/SiteAssets/SitePages/g.%20Procesbeskrivelse%20for%20gerningsmandssager/procesbeskrivelse%20gerningsmænd.docx""";False;procesbeskrivelse%20gerningsmænd.docx;https://lbforsikring.sharepoint.com/sites/Skade/Regres/;;;;
