Filnavn;Gruppe;Undergruppe;Branche
Dækning af udgifter til at finde afdækkede brønddæksler.aspx;Erstatningsopgørelse;Afsnit 9: Stikledninger;Bygning
stråtag.aspx;Erstatningsopgørelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Skade forvoldt af flyvende trampoliner og andre løse genstande.aspx;Erstatningsopgørelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
1 eller 2 selvrisikobeløb.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Priskatalog.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Fareforøgelse.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Lovliggørelse.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Behandling af bolighjælpsdækningen.aspx;Erstatningsopgørelse;Bolighjælp;Bygning
Hvordan foretager vi afskrivning.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Tidligere forsikringsvilkår.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Kontanterstatning der anvendes til andet formål.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Selvrisiko ved brud på flere rørstrækninger.aspx;Erstatningsopgørelse;Afsnit 9: Stikledninger;Bygning
Erstatning for glas i drivhuse.aspx;Erstatningsopgørelse;Afsnit 1.G.a Ejendommens bygningerog 1.G.e Bygninger, hegn og stakitter;Bygning
Organisk materiale.aspx;Erstatningsopgørelse;Skybrud - Vilkårenes afsnit 6. Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Oprydning af genstande i medlems have, efter en dækningsberettigende skade hos medlems nabo.aspx;Erstatningsopgørelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Forældelsesreglerne vist i forskellige eksempler.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Pro-rata erstatning.aspx;Erstatningsopgørelse;;Bygning
Informationssøgning.aspx;Erstatningsopgørelse;Alle skader;Bygning
Dækning af særligt privat indbo og elektriskeapparater i henhold til sommerhusvilkårene.aspx;Erstatningsopgørelse;Sommerhusvilkårenes afsnit 1.F: Hvilke ting dækker forsikringen skader på, afsnit 4: Indbrudstyveri, røveri og overfald på forsikringsstedet, 5: Simpelt tyveri og hærværk og 9: Pludselig skader;Bygning
Oprydning efter stormskadede træer.aspx;Erstatningsopgørelse;Husvilkårenes afsnit 6. Storm - Voldsomt sky- og tøbrud - Snetryk og Husvilkårenes afsnit 14. Udvidet dækning for haveanlæg ;Bygning
Vandudgift.aspx;Erstatningsopgørelse;Husvilkårenes afsnit 1.G.a og 1.G.g;Bygning
Erstatning for træer og buske.aspx;Erstatningsopgørelse;;Bygning
Undersøgelsesudgifter når skaden er dækningsberettigende.aspx;Erstatningsopgørelse;Alle dækninger;Bygning
Opgørelse til dagsværdi.aspx;Erstatningsopgørelse;Genstande af organisk materiale;Bygning
Selvrisiko og summer.aspx;Erstatningsopgørelse;;Bygning
Tab af vand og olie.aspx;Erstatningsopgørelse;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør, Afsnit 9: Stikledninger og afsnit 10: Skjulte rør og kabler;Bygning
Skade forvoldt af håndværker.aspx;Erstatningsopgørelse;Alle skader;Bygning
Hvordan opgøres erstatningens størrelse for vandforbrug.aspx;Erstatningsopgørelse;Afsnit 5: Udstrømning af væsker (vandskade) - Afsnit 9: Stikledninger - Afsnit 10: Skjulte rør og kabler;Bygning
Hvordan opgøres erstatningens størrelse for tab af olie.aspx;Erstatningsopgørelse;Afsnit 5: Udstrømning af væsker (vandskade) - Afsnit 9: Stikledninger - Afsnit 10: Skjulte rør og kabler;Bygning
Vejledning for hvilket el-arbejde privat personer må udføre.aspx;Erstatningsopgørelse;Alle skader;Bygning
Værdiforringelseserstatning.aspx;Erstatningsopgørelse;;Bygning
Restværdi.aspx;Erstatningsopgørelse;;Bygning
forbeholdsbrev.aspx;Forretningsgang;Alle dækninger;Bygning
Vejret.aspx;Forretningsgang;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Stormflodsskader.aspx;Forretningsgang;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Statistikkode.aspx;Forretningsgang;Alle dækninger;Bygning
AB 92.aspx;Forretningsgang;Regressager;Bygning
Medlemsjura.aspx;Forretningsgang;Alle dækninger;Bygning
fortryder sp-håndværker.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
Taksator på sp-sager.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
dagbog.aspx;Forretningsgang;Alle dækninger;Bygning
Falck bolighjælp.aspx;Forretningsgang;Træfældning, Fygesne, vand i boligen, skadedyr, istapper, løse tagsten, sne på taget, løbet tør for olie, rådgivning;Bygning
tilstandsrapport.aspx;Forretningsgang;Oftest afsnit 9: stikledninger, Afsnit 10: Skjulte rør og kabler, Afsnit 11: Råd og svamp, Afsnit 12: Insekter;Bygning
taksator.aspx;Forretningsgang;Sager der behandles af taksator;Bygning
Sp-håndværker afviser skade.aspx;Forretningsgang;Sager der behandles af sp-håndværker ;Bygning
Hvornår sp-håndværker.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
Forløbet for en sp-sag.aspx;Forretningsgang;Sager der behandles af Sp-håndværker;Bygning
Skader der udbedres af sp-håndværker.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
Sp-håndværker er i tvivl om dækning.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
Skadeår.aspx;Forretningsgang;Alle dækninger;Bygning
reserve.aspx;Forretningsgang;Alle dækninger ;Bygning
Skader på over 1 mio kr.aspx;Forretningsgang;Alle dækninger;Bygning
Indberetning af renter.aspx;Forretningsgang;Alle dækninger;Bygning
Beregning af renter.aspx;Forretningsgang;Alle dækninger;Bygning
Klage over afgørelse - Procedure.aspx;Forretningsgang;Alle skadesager;Bygning
Olieforurening.aspx;Forretningsgang;Olieforurening;Bygning
Oplysning om forsikringsforhold.aspx;Forretningsgang;Alle forsikringforhold;Bygning
personrelaterede sager.aspx;Forretningsgang;Alle skadesager;Bygning
Post til andre selskaber.aspx;Forretningsgang;Alle skadesager;Bygning
Udbetaling til håndværkere.aspx;Forretningsgang;Alle skadesager;Bygning
Incassosager.aspx;Forretningsgang;Alle skadesager;Bygning
Postnummerfordeling - skadeservicefirmaer.aspx;Forretningsgang;Postnummerfordeling - skadeservicefirmaer;Bygning
Aktindsigt.aspx;Forretningsgang;Alle dækninger;Bygning
Selskabets e-mail anbefalinger.aspx;Forretningsgang;Alle skadesager;Bygning
Anmeldelsesfrister.aspx;Forretningsgang;Stikledninger, Skjulte rør, råd/svamp og insekter;Bygning
Rykkerprocedure.aspx;Forretningsgang;Alle dækninger;Bygning
Besvarelse af klagesager.aspx;Forretningsgang;Alle skadesager;Bygning
Medarbejdersager.aspx;Forretningsgang;Alle skadesager;Bygning
Hus Plus dækninger.aspx;Forretningsgang;Alle dækninger ;Bygning
Statistikkode 400 - Redning og bevaring.aspx;Forretningsgang;Alle dækninger;Bygning
MgO-plader.aspx;Forretningsgang;Alle skader;Bygning
Udhusbygninger der er undtaget fra forsikringsdækning.aspx;Forretningsgang;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Bygning
Glasdækning - ridsede ruder.aspx;Forretningsgang;Husvilkårenes afsnit 8: Glas og sanitet og Sommerhusvilkårenes afsnit 16: Glas og sanitet ;Bygning
Afregning til sp-håndværkere og Housecenter.aspx;Forretningsgang;Sager der behandles af sp-håndværker;Bygning
Afsnit 6 + Udvidet vanddækning.aspx;Husvilkårenes plusdækninger;Udvidet vanddækning;Bygning
Husplus afsnit 9+ udvidet dækning for brønde og stikledninger.aspx;Husvilkårenes plusdækninger;Udvidet dækning for brønde og stikledninger;Bygning
Husplus afsnit 13. Skadedyr.aspx;Husvilkårenes plusdækninger;Skader på grund af pindsvin, slanger, fugle, flagermus samt mår, rotter, mus og andre gnavere;Bygning
Husplus afsnit 14 Udvidet dækning for haveanlæg.aspx;Husvilkårenes plusdækninger;Afsnit 1.G.g: Haveanlæg og Afsnit 4: Tyveri og Hærværk, Afsnit 6: Storm og Afsnit 7: Pludselig skade;Bygning
Husplus afsnit 3+ Udvidet dækning for funktionsfejl på elektriske apparater.aspx;Husvilkårenes plusdækninger;Funktionsfejl i faste elektriske installationer;Bygning
HusPlus udvidet vanddækning forhold som medfører, at udbedring af årsagen til skaden ikke lader sig gøre.aspx;Husvilkårenes plusdækninger;Hus Plus - afsnit 6+ udvidet vanddækning - udbedring af årsagen til skaden;Bygning
Udsivning af vand fra frostsprængt synligt rør.aspx;Husvilkårenes plusdækninger;Hus Plus - Afsnit 6+ Udvidet vanddækning - frostsprængning af rør;Bygning
Vandforbrug.aspx;Husvilkårenes plusdækninger;Vilkårenes afsnit 5: Udstrømning af væsker (Vandskade) - Vilkårenes afsnit 9: Stikledninger - Vilkårenes afsnit 10: Skjulte rør og kabler ;Bygning
Hvem kan tegne Husplus dækning.aspx;Husvilkårenes plusdækninger ;;Bygning
Afdækning ved udvidet vanddækning.aspx;Husvilkårenes plusdækninger ;Afdækning ved udvidet vanddækning;Bygning
Husplus - Kosmetiske skader.aspx;Husvilkårenes plusdækninger ;;Bygning
Tegninger af bygninger og bygningsdele.aspx;Oversigter og tegninger af bygninger og delene heri;Alle dækninger;Bygning
