OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Hvem er sikret - bygning.aspx;Hvem er sikret - bygning.aspx;Bygning;Hvem er sikret;Erhverv;False;Success
Vægmalerier og udsmykning.aspx;Vægmalerier og udsmykning.aspx;Bygning;Forsikrede Genstande;Erhverv;False;Success
Hegn.aspx;Hegn.aspx;Bygning;Forsikrede Genstande;Erhverv;False;Success
Eget arbejde bygning.aspx;Eget arbejde bygning.aspx;Bygning;Erstatningsopgørelse;Erhverv;False;Success
Moms på bygning.aspx;Moms på bygning.aspx;Bygning;Erstatningsopgørelse;Erhverv;False;Success
Nedbør.aspx;Nedbør.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Pludselig skade ikke dækket.aspx;Pludselig skade ikke dækket.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Glas og kumme på løsøre.aspx;Glas og kumme på løsøre.aspx;Løsøre;Forsikrede Genstande;Erhverv;False;Success
Motorkøretøjer.aspx;Motorkøretøjer.aspx;Løsøre;Forsikrede Genstande;Erhverv;False;Success
Dokumentation.aspx;ErhvervDokumentation.aspx;Løsøre;Erstatningsopgørelse;Erhverv;True;Success
Moms.aspx;ErhvervMoms.aspx;Løsøre;Erstatningsopgørelse;Erhverv;True;Success
Frostsprængning.aspx;ErhvervFrostsprængning.aspx;Løsøre;Vand;Erhverv;True;Success
