OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Rammer og kontakt.aspx;Rammer og kontakt.aspx;;;Storskade;False;Success
Storskademøder.aspx;Storskademøder.aspx;;;Storskade;False;Success
Startside.aspx;StorskadeStartside.aspx;;;Storskade;True;Success
Baggrund.aspx;Baggrund.aspx;;;Storskade;False;Success
Definition Storskade.aspx;Definition Storskade.aspx;;;Storskade;False;Success
Gennemløbstider.aspx;Gennemløbstider.aspx;;;Storskade;False;Success
Afslutning - Plant et træ.aspx;Afslutning - Plant et træ.aspx;;;Storskade;False;Success
Voldgift.aspx;Voldgift.aspx;;;Storskade;False;Success
