OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Emhætte.aspx;BygningEmhætte.aspx;Afsnit 1.G.d: Bygningstilbehør ;Forsikrede genstande;Bygning;True;Error
Kunstnerisk udsmykning.aspx;Kunstnerisk udsmykning.aspx;Afsnit 1.G.f: Kunstnerisk udsmykning;Forsikrede genstande;Bygning;False;Error
Følgeskade på haveanlæg.aspx;Følgeskade på haveanlæg.aspx;Afsnit 1.G.g: Haveanlæg;Forsikrede genstande;Bygning;False;Error
Træer.aspx;Træer.aspx;Afsnit 1.G.g: Haveanlæg;Forsikrede genstande;Bygning;False;Error
Skjulte rør og kabler.aspx;Skjulte rør og kabler.aspx;Afsnit 10: skjulte rør og kabler;Afsnit 10: Skjulte rør og kabler;Bygning;False;Error
Reemaljering af gulvafløb.aspx;Reemaljering af gulvafløb.aspx;Afsnit 10: skjulte rør og kabler;;Bygning;False;Error
Multiseal.aspx;Multiseal.aspx;Afsnit 10: skjulte rør og kabler ;;Bygning;False;Error
Råd og Svamp.aspx;Råd og Svamp.aspx;Afsnit 11: Råd og Svamp;Afsnit 11: Råd og Svamp;Bygning;False;Error
Ægte hussvamp i murværk.aspx;Ægte hussvamp i murværk.aspx;Afsnit 11: Råd og Svamp;Afsnit 11: Råd og Svamp;Bygning;False;Error
Insekter.aspx;Insekter.aspx;Afsnit 12: Insekter;Insekter;Bygning;False;Error
Brand.aspx;BygningBrand.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning;True;Error
Svideskade.aspx;Svideskade.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, Lynnedslg og eksplosion m.v.;Bygning;False;Error
Pludselig tilsodning.aspx;Pludselig tilsodning.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, Lynnedslag og eksplosion m.v.;Bygning;False;Error
Lyn.aspx;Lyn.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning;False;Error
Eksplosion.aspx;Eksplosion.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning;False;Error
El-skade.aspx;El-skade.aspx;Afsnit 3: El-skade;Kolonne 3: El-skade;Bygning;False;Error
Tyveri.aspx;Tyveri.aspx;Afsnit 4: Tyveri og hærværk;Afsnit 4.: tyveri - hærværk;Bygning;False;Error
Hærværk.aspx;Hærværk.aspx;Afsnit 4: Tyveri og hærværk;Afsnit 4: tyveri og hærværk;Bygning;False;Error
Tyveri begået mens boligen var udlånt eller udlejet - Boligbyt.aspx;Tyveri begået mens boligen var udlånt eller udlejet - Boligbyt.aspx;Afsnit 4: Tyveri og hærværk ;Afsnit 4: Tyveri og hærværk ;Bygning;False;Error
Udstrømning af væsker.aspx;Udstrømning af væsker.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning;False;Error
Frostsprængning.aspx;Frostsprængning.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Kolonne 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning;False;Error
Opstigning af grund-og kloakvand.aspx;Opstigning af grund-og kloakvand.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning;False;Error
Frostsprængning i sommerhuse.aspx;Frostsprængning i sommerhuse.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5 Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning;False;Error
Brud på naboers stikledninger.aspx;Brud på naboers stikledninger.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning;False;Error
Frostsprængning af rør i uopvarmede loft og skunkrum samt hulmure og krybekældre.aspx;Frostsprængning af rør i uopvarmede loft og skunkrum samt hulmure og krybekældre.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Bygning;False;Error
Udgifter til optøning af rør.aspx;Udgifter til optøning af rør.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Bygning;False;Error
Storm.aspx;Storm.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning;False;Error
Skybrud.aspx;BygningSkybrud.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;True;Error
